SalesID,ProductID,CampaignName,Category,Location
8cb87d18-c557-45fc-be03-e1b2f5a47eb7,788f590e-b338-45eb-a29a-2e85abd76903,christmas and new year,Automotive,Chandigarh
26d5ed2a-e257-4847-ba11-755d234ceb0c,ac663eb3-027d-4765-953e-353d0d74d54b,valentines day,Toys & Games,Arunachal Pradesh
2663fa23-c320-4467-89f5-26609abadb24,9b1d5473-e90f-4706-a739-377f74cb17a5,thanks giving,Office Supplies,Madhya Pradesh
78981ab1-42de-4f30-8edc-c847b2d3f51f,e84bdb4f-5a0c-4d7d-8907-0b349eb0107a,mother's day,Beauty & Personal Care,Madhya Pradesh
469b7102-5e09-4c28-9cd3-45fb35fb1e5b,aecb344f-d022-4faf-9e20-7ebf998f531c,prime day,Beauty & Personal Care,Meghalaya
a5bdc273-7193-44da-bfe3-a079d47fc1d0,9911717b-4971-48be-940e-0400f5f9ef8a,valentines day,Home & Kitchen,Rajasthan
553234a9-1bf7-4b2e-bed1-0ad3bfc780d8,b7a03216-d276-42c0-8810-a43a9bb16947,season end sale,Books,Himachal Pradesh
7a8ba6b2-b0b9-49e5-8fc8-b81dd8d8dce1,4bbcf1b8-8982-402b-887e-4af0f81d4b92,mother's day,Beauty & Personal Care,Bihar
bb7c374e-f372-4517-824b-8c76f126096e,10577042-ca8a-4abd-8203-70dd0cdf1079,normal day,Office Supplies,Karnataka
b235e9a7-e2d6-4f8f-94c8-78e1951083fb,34df079a-2656-4847-8bb9-36e09e093672,christmas and new year,Electronics,Gujarat
cada2bed-7a8a-4a92-8741-998b9adb513a,388ab681-091d-4638-8fa1-1808a28d37f5,valentines day,Books,Haryana
08122d46-37fd-40c0-a8d6-1f8f27331446,972caad5-5f12-4c58-95c0-303c2b507602,christmas and new year,Beauty & Personal Care,Telangana
d8cdd4db-560a-45ff-9faa-68239c0ffe01,5585eea4-6059-40e9-b8fe-d3ce1b24862e,normal day,Clothing,Haryana
b2020c29-0dd0-4dd8-ba9b-26d0bb37a753,170f0f46-688b-405b-b69e-ab7ee07f03d3,mother's day,Automotive,Goa
c6f94872-275a-4743-9174-e0ef03580aae,e31b3077-96b3-4631-86c9-4f2fbdc831c9,valentines day,Automotive,Rajasthan
4752ae16-5a5a-4435-be28-9e81839a6ff3,ec03fc38-b4cc-42fc-bcc4-4af00c1fb43a,season end sale,Clothing,Maharashtra
a07f242c-7101-4028-9c3f-78d04c7894e9,6f823e51-5bd1-404e-8599-4413d3a1e832,mother's day,Clothing,Delhi
cd6831e6-6052-4f56-a0a9-aad6d63e5803,64844b91-4bf1-4e59-b1db-9c31df1db27a,thanks giving,Automotive,Punjab
1bec3bef-60e0-4740-bca1-bfa3413ccfe5,48562ab2-83cb-4e77-bf8e-dfeb0fa24e99,season end sale,Sports & Outdoors,West Bengal
99b8fc43-7aca-498e-a949-c53bc989476f,39f57897-b46c-4fc9-888a-342efbec0b50,season end sale,Home & Kitchen,Chandigarh
de7f84fb-25ce-4515-93c2-38df6675f38e,461feaf8-6826-4d96-9bbe-b37f5848538d,prime day,Electronics,Puducherry
79bf5c45-358b-4211-ab05-6daf72d83b69,0f0c3028-70d0-4a27-8be3-bd72775e9c52,season end sale,Home & Kitchen,Odisha
107f7b4f-43f7-4a7b-a0ae-fc68bad7d3c6,5a9ee3ee-d928-49aa-9508-dcaa806735de,christmas and new year,Health & Wellness,Uttar Pradesh
7084ce38-8c21-4753-8946-65cee8aa940c,d0a16160-1103-41e2-ac57-1a19c5a74497,season end sale,Books,Gujarat
91532eb3-08f3-4d80-af5a-768c0ef257bf,8e8f1391-0dad-42ac-975f-cdfdf81f0afe,thanks giving,Books,Tamil Nadu
83396211-c677-4dce-8944-56a028ffa510,b5a2633b-51b8-45f7-b171-a3648e697a22,season end sale,Automotive,Rajasthan
1f68d408-f185-447a-9e1c-e7245c3c12e3,9e0cb4dc-de0d-4e4f-8b2d-e333ecd7d76e,christmas and new year,Office Supplies,Odisha
b92591ed-aa7d-4f26-8e0c-f99db4983e2b,40b05f06-d4ec-460a-ab23-917a4347992b,normal day,Books,Tamil Nadu
ee001437-d894-4f6a-b52f-3276212496ac,672fc150-e653-49cd-9cef-61ba8f096072,mother's day,Home & Kitchen,Karnataka
56626403-f61a-4c1d-91fc-254f1d980354,1740a1e5-2952-43ee-bd26-7fff0a864484,mother's day,Clothing,Manipur
95ccefe2-5409-4312-b683-95df8dcbb453,a702602f-725f-43bd-91c1-78ac829af7f8,prime day,Sports & Outdoors,Haryana
472125c1-365a-43d2-8b7e-57021b1e39da,47541efa-e486-4980-99aa-fca3439c77df,christmas and new year,Beauty & Personal Care,Manipur
10c7fd80-4161-4608-8a5f-aea8ca26354d,b8737ac5-399b-4cda-9f74-a467497957b8,normal day,Electronics,West Bengal
aa366c4c-bed5-4cb4-a14b-68ce9dae3412,ef2e786e-63b9-4392-b154-d6cd93d7e203,mother's day,Beauty & Personal Care,Telangana
