VisitorID,PageID,DateVisited,Action
44488986-fcbd-46b1-b132-e20ed85a49c5,781e780f-92c2-42e5-9653-0d3b08c18148,2023-07-19,not_purchase
3ed9b1dd-956a-45bf-ac4d-112a119da5cf,ce8d7eb8-d633-4b08-ad95-b92a227bcdcb,2023-04-19,not_purchase
b398509e-5125-44d8-9c93-a68289c4c824,4218c213-15fa-4754-8519-09aefab38cdb,2020-01-27,not_purchase
af8230da-5c04-479c-9ea7-3378f32b707c,2567caee-bd29-4f58-9fa2-20c5616ab0e2,2018-09-30,not_purchase
2abe62d6-fc3a-49a7-8243-4101914bf00b,bcf3b964-3dc2-4653-9b8e-f39589a72aff,2020-12-25,purchase
0c765ba1-35e1-4821-9764-6e92a8ffa792,8dc7524d-14a6-430e-8ed2-248bc27ccf79,2018-11-03,not_purchase
6e9cc7c7-90e0-45ec-bec8-4732662090b8,81853b23-16f5-42ef-8aeb-f6663c205051,2022-10-16,not_purchase
828f0f42-b3e8-422d-9b96-e4e18a8b67d5,88862a48-6d98-439e-8324-c631a9c7fcb3,2022-04-30,purchase
0f9e815d-934d-416e-88ae-f1e27e71810f,5b1e7904-eca1-4d24-bf8b-6bc9ad495fae,2018-10-27,not_purchase
dcfc0122-a2f0-4631-8a99-47c0109d4ffb,4462cbe8-7b5f-4f92-ab19-367b70bda085,2020-04-18,not_purchase
b26a6222-098d-400e-ad2d-945aa28512df,ebd9b962-6a52-4b6a-8b59-2c9428b7f527,2022-01-19,purchase
d4b35b36-b4f1-4b12-b9e8-241fc1c5582e,fdce394d-0b90-400f-bc7d-1e028c78fcdf,2023-06-24,not_purchase
6358af6d-ed27-4064-9d2a-8175a8c04d0f,82341bf3-5ebc-4ea4-8ac7-826cd27752b7,2020-10-24,not_purchase
62687e8d-8522-460b-bf40-0760e115ec08,71d4bd13-ed2f-47bc-9912-ba38adba411c,2019-04-11,not_purchase
d52bd046-7ca3-4f39-bb32-7c6aa87f101f,0c714b4b-ea70-4776-90c3-2d3f07e01cda,2021-07-01,purchase
2bd50609-2fad-41e0-aa19-717742f0968e,cb71c9c4-b6b1-4407-ad3c-6fc817401ff6,2019-06-16,not_purchase
ab163195-3702-46ed-99c5-be316a115333,73402703-71f2-4045-ad3c-5b91f0076859,2019-09-11,not_purchase
d3e00915-c4d7-4bbc-8209-d06b119e8b6a,34d06e09-d9ba-4926-9169-5e4c91ecfedc,2021-09-18,purchase
669f0b3f-7a32-4fb8-ae11-96f4978a25d3,6cdaf94f-31cc-468d-973e-8b17a3929072,2021-09-18,not_purchase
955742c3-9a87-422d-9fb1-5ef82a9a6dda,1aae13f3-4bdc-44f1-9526-26421eeac934,2020-04-03,purchase
1c84a00c-f074-4655-a0eb-d6bdd1ec9b50,226c7483-ac28-40b5-9bd9-c69ee90f5d92,2019-01-09,purchase
bf38d8a5-3619-479a-8f3a-f311832dd0ec,018f07cf-ffe8-4bc4-b70a-d39fa1357c31,2020-09-02,purchase
303cc3d0-4228-458e-80c2-c387825f5abf,175ddb0f-a3ce-4c77-9a3b-1f970fc31a09,2019-04-13,purchase
a4bb86a7-e276-43ec-b28c-ba9206b8ef97,388ac460-50e4-4c91-9f3d-e7322b6e0fb1,2020-09-11,purchase
fcf95c61-06ab-4f21-9208-67391b99ca8b,13b266c8-c3dc-46ee-b8fc-78af9024d92c,2019-07-10,purchase
957eb00d-5a97-4363-8b0f-45415aa8515e,d534b466-cc66-4cc6-8854-8ac7b06e389f,2023-02-23,purchase
0848d41e-d9f9-40e6-bc86-591204718fb2,51846069-3903-4b7a-8372-9f3d2a3e3ad7,2021-12-01,not_purchase
29195796-ee53-4f13-b912-0cae7f441bbe,ebe89ea5-9830-4408-a2b9-390e0c248b32,2021-01-04,not_purchase
3b5c4333-11c3-48e7-9700-668ddff2875f,c25986fc-0475-467d-83fe-8885cc17d735,2023-04-25,purchase
96d77c1a-b4b7-4ef6-b98e-dfa213d5f957,a1dd9c33-a1c9-4e16-9a6d-e800c751d70e,2019-08-02,not_purchase
3e00155c-6a49-4117-a207-bfc331fa8d26,b6b103d3-9d8a-47aa-8493-63bb398e8a85,2020-11-07,not_purchase
37948218-8d5e-4e8a-ab58-5e2b9642826f,29b505e9-79d0-4140-94e3-037db22b804e,2019-02-16,not_purchase
aed54375-4979-474d-b0c0-21cdb5dd04b6,8d72bfe4-4fdd-4caf-8111-b4f553139481,2022-06-20,not_purchase
5cbd6512-25ca-4313-9847-399a2c116582,2aef8fd5-db68-4cd6-8104-ac6c99d801f7,2019-04-13,not_purchase
6fa33e2e-5d7a-4c5b-93e6-d79e45bc2144,74a67d74-07c2-4753-8de1-282599708623,2020-01-07,not_purchase
7e990c5a-252e-4bc8-8989-2b34ad804f9f,a32c068f-abb8-41f0-ba32-a954a4566428,2023-05-22,not_purchase
02d2b0b3-8a3c-492e-9b42-ed7aa7ab0b4a,52a3c549-9448-4900-919e-b21f12d4a132,2020-09-07,purchase
76d1cb34-4b22-4fcb-b342-368b5af9fb2f,45da54a0-0334-41ac-8640-69dd8e4b724c,2020-10-06,not_purchase
f3f1a849-1e95-4f9c-8655-5cda7e1d2bf4,0809fcae-41dc-4c97-ba24-f15eec1291e8,2022-06-02,purchase
fd4769dc-127c-4d5a-b676-8611a9b2d1f9,29dcdd4d-d977-4c4a-b3cc-c14c30e256e9,2022-05-27,not_purchase
bc2ec1c4-2cc2-4e9c-bcc5-c3d86bcb61b4,d3f9eab6-1a72-4583-adb5-f7e5562af90a,2021-10-30,not_purchase
6f5920a0-1c40-4e5a-9036-01202d2e2cd9,ba1ffc95-7db1-415c-99f8-3fc4b77ab336,2018-08-26,not_purchase
ca4b7243-4366-4c7f-9b13-318be1d319bd,e767ac3a-2259-41d8-99cd-fd4d3b558c70,2019-08-07,not_purchase
91024795-9cf5-4aa3-b101-e310030c8f7f,fecef1ba-8394-4e74-bdac-f9d07c0b2ff8,2018-10-20,not_purchase
35e98b77-daf4-41df-85d5-1eed1036f383,c0985bf6-84d7-4a8c-b2a7-8164912cabe3,2022-12-14,purchase
